journal_abbr,lastname,firstname,title,position,affiliation,role,website,retrieved_on,Richter,Benita,Unnamed: 2,Chefredakteurin,Bundesvereinigung Lebenshilfe e. V.,Redaktion,Es wurden keine Informationen über den Herausgeber, die Redaktion/Schriftleitung und den Beirat der Zeitschrift 'Bundesbaublatt' gefunden. Hier sind die CSV-Header:,Bayer,Walter,Prof. Dr.,Herausgeber,Friedrich-Schiller-Universität Jena,Herausgeber.1
APR,Beckers,Thorsten,Prof. Dr.,Leiter der Professur Infrastrukturwirtschaft und -management,Bauhaus-Universität Weimar,Beirat,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Burgi,Martin,Prof. Dr.,"Lehrstuhl für Öffentliches Recht, Wirtschaftsverwaltungsrecht, Umwelt- und Sozialrecht, Research Fellow","LMU München, George Washington University Law School",Beirat,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
AuA,Huss,Christoph,,,HUSS-MEDIEN GmbH,Herausgeber,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Huss,Wolfgang,,,HUSS-MEDIEN GmbH,Herausgeber,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Krabel,Andreas,,Chefredakteur,HUSS-MEDIEN GmbH,Redaktion,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Hromadka,Wolfgang,,Sprecher des Beirats,Universität Passau und Karls-Universität Prag,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Akitürk,Deniz C.,,Senior Vice President Human Resources,"Rheinmetall Waffe Munition GmbH, Rheinmetall Landsysteme GmbH",Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Meurer,Nils,,"Leiter Personalmanagement, Grundsatz, Vergütung und Arbeitsrecht",Talanx Versicherungen,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Rüther,Mark,,Leiter Tarifwesen,DFS Deutsche Flugsicherung GmbH,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Engel,Dorit,,Senior Counsel Employment Law/Director,Deutsche Bank AG,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Fritz,Michael,,"Leiter Personal; DB Engineering & Consulting (I.TH), Geschäftsführer Personal",DB International GmbH,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Holsboer,Valerie,,Vorstand Ressourcen,Bundesagentur für Arbeit,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Klarmann,Philipp,,"VP, Head of Global Compliance and Forensic Audit",SAP SE & Co. KG,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Lessner-Sturm,Jan,,Director Labour Relations Germany & Labour Law,Metro AG,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Maschmann,Frank,,Lehrstuhl für Bürgerliches Recht und Arbeitsrecht,Universität Regensburg,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Pollert,Dirk,,Hauptgeschäftsführer,"Verband der Metall- und Elektro-Unternehmen Hessen e. V., Vereinigung der hessischen Unternehmerverbände",Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Richert,Andreas,,Leiter Arbeitsrecht und Koordination Personalarbeit Inland,Bertelsmann SE & Co. KGaA,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Schirmer,Uwe,,Leitender Direktor,Robert Bosch GmbH,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Schlewing,Anja,,Vorsitzende Richterin am Bundesarbeitsgericht,,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Schöllmann,Ingo,,Hauptgeschäftsführer,Arbeitgeberverband für Telekommunikation und IT e. V.,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Sieg,Rainer,,"Rechtsanwalt, Honorarprofessor",Universität Passau,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Steger,Thomas,,"Lehrstuhl für Betriebswirtschaftslehre, insb. Führung und Organisation",Universität Regensburg,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Stiller,Klaus-Peter,,Hauptgeschäftsführer,Bundesarbeitgeberverband Chemie e.V,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Viethen,Hans Peter,,Ministerialdirektor a. D.,Bundesministerium für Arbeit und Soziales (BMAS),Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuA,Wein,Boris,,Head of Labour Law,Boehringer Ingelheim Pharma GmbH & Co. KG,Beirat,https://de.wikipedia.org/wiki/Arbeit_und_Arbeitsrecht,2024-01-04,,,,,,,,,,,,,,
AuR,Siebens,,,,,,https://www.bund-verlag.de/zeitschriften/arbeit-und-recht/redaktion,2024-01-04,,,,,,,,,,,,,,
AuR,Bender,,,,,,https://www.bund-verlag.de/zeitschriften/arbeit-und-recht/redaktion,2024-01-04,,,,,,,,,,,,,,
AuR,Baczyk,,,,,,https://www.bund-verlag.de/zeitschriften/arbeit-und-recht/redaktion,2024-01-04,,,,,,,,,,,,,,
AuR,Schilling,,,,,,https://www.bund-verlag.de/zeitschriften/arbeit-und-recht/redaktion,2024-01-04,,,,,,,,,,,,,,
ArbR,Bauer,Jobst-Hubertus,Prof. Dr.,Rechtsanwalt und Fachanwalt für Arbeitsrecht,Eberhard Karls Universität Tübingen,Herausgeber,https://beck-online.beck.de/Modul/53848/Inhalt/ArbR-Arbeitsrecht-Aktuell/474,2024-01-04,,,,,,,,,,,,,,
AVR,Boysen,Sigrid,,,,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr,2024-01-04,,,,,,,,,,,,,,
AVR,Kotzur,Markus,,,,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr,2024-01-04,,,,,,,,,,,,,,
AVR,Uerpmann-Wittzack,Robert,,,,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr,2024-01-04,,,,,,,,,,,,,,
AVR,Bruha,Thomas,,,,,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr,2024-01-04,,,,,,,,,,,,,,
AVR,Kunig,Philip,,,,,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr,2024-01-04,,,,,,,,,,,,,,
AVR,Thürer,Daniel,,,,,https://www.mohrsiebeck.com/zeitschrift/archiv-des-voelkerrechts-avr,2024-01-04,,,,,,,,,,,,,,
AcP,Auer,Marietta,,,,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-fuer-die-civilistische-praxis-acp,2024-01-04,,,,,,,,,,,,,,
AcP,Bork,Reinhard,,,,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-fuer-die-civilistische-praxis-acp,2024-01-04,,,,,,,,,,,,,,
AcP,Wagner,Gerhard,,,,Herausgeber,https://www.mohrsiebeck.com/zeitschrift/archiv-fuer-die-civilistische-praxis-acp,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Verhoff,Marcel A.,Prof. Dr.,Rechtsmedizin,Frankfurt am Main,Herausgeber,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Bachhiesl,Christian,Priv.-Doz. Dr.,,Graz,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Ferrara,Davide,Prof. Dr.,,Padova,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Ludes,Bertrand,Prof. Dr. Dr. h. c.,,Paris,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Madea,Burkhard,Prof. Dr.,,Bonn,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Maeda,Hitoshi,Prof. Dr.,,Osaka,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Pfeiffer,Heidi,Prof. Dr.,,Münster,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Pollanen,Michael,Prof. Dr.,,Toronto,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Püschel,Klaus,Prof. Dr.,,Hamburg,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Saukko,Pekka,Prof. Dr. Dr. h. c.,,Turku,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
ArchKrim,Skopp,Gisela,Prof. Dr.,,München,Editorial Board,https://www.archivfuerkriminologie.de/,2024-01-04,,,,,,,,,,,,,,
